policy,yield_target,ticker,monday_date,pnl_pct
buy_and_hold_spy,0.01,SPY,2021-02-08,0.04412309397158105
buy_and_hold_spy,0.01,SPY,2021-02-22,-0.010752721631496582
buy_and_hold_spy,0.01,SPY,2021-03-01,0.007879086879101589
buy_and_hold_spy,0.01,SPY,2021-03-08,-0.024286197614039214
buy_and_hold_spy,0.01,SPY,2021-03-15,0.045389944928051165
buy_and_hold_spy,0.01,SPY,2021-03-22,-0.011803260262388548
buy_and_hold_spy,0.01,SPY,2021-04-05,0.04254723887783125
buy_and_hold_spy,0.01,SPY,2021-04-12,0.016314513218059795
buy_and_hold_spy,0.01,SPY,2021-04-19,0.011030702771777484
buy_and_hold_spy,0.01,SPY,2021-04-26,0.007415627820593914
buy_and_hold_spy,0.01,SPY,2021-05-03,0.001823096121503205
buy_and_hold_spy,0.01,SPY,2021-05-10,-0.0008033918979624397
buy_and_hold_spy,0.01,SPY,2021-05-17,-0.007477485224944249
buy_and_hold_spy,0.01,SPY,2021-05-24,0.011278038094354417
buy_and_hold_spy,0.01,SPY,2021-06-07,0.009331321458974948
buy_and_hold_spy,0.01,SPY,2021-06-14,0.009485870675026292
buy_and_hold_spy,0.01,SPY,2021-06-21,-0.013595427681716498
buy_and_hold_spy,0.01,SPY,2021-06-28,0.02042397592992612
buy_and_hold_spy,0.01,SPY,2021-07-12,0.029693439984550735
buy_and_hold_spy,0.01,SPY,2021-07-19,-0.03741807194242434
buy_and_hold_spy,0.01,SPY,2021-07-26,0.04959209945161902
buy_and_hold_spy,0.01,SPY,2021-08-02,-0.010598172415444888
buy_and_hold_spy,0.01,SPY,2021-08-09,0.014027958038049093
buy_and_hold_spy,0.01,SPY,2021-08-16,0.014954876155064443
buy_and_hold_spy,0.01,SPY,2021-08-23,0.0008960837096639747
buy_and_hold_spy,0.01,SPY,2021-08-30,0.015356572104045662
buy_and_hold_spy,0.01,SPY,2021-09-13,-0.017457743660653297
buy_and_hold_spy,0.01,SPY,2021-09-20,-0.038746686008420905
buy_and_hold_spy,0.01,SPY,2021-09-27,0.02657275279404992
buy_and_hold_spy,0.01,SPY,2021-10-04,-0.043257938964092156
buy_and_hold_spy,0.01,SPY,2021-10-11,0.0186935716201248
buy_and_hold_spy,0.01,SPY,2021-10-18,0.03862315978936799
buy_and_hold_spy,0.01,SPY,2021-10-25,0.025831124005613937
buy_and_hold_spy,0.01,SPY,2021-11-01,0.013873503116820927
buy_and_hold_spy,0.01,SPY,2021-11-08,0.027468742208890364
buy_and_hold_spy,0.01,SPY,2021-11-15,-0.004634779174724159
buy_and_hold_spy,0.01,SPY,2021-11-22,0.00043262465115629967
buy_and_hold_spy,0.01,SPY,2021-11-29,-0.009176866537746959
